,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
ForumTlaquepaque,2.873483342,4.214953046,3.472441387,3.187712595,2.711321725,7.805474863,2.915517254,2.836405249,1.336041513,2.857626033,2.628056894,1.692954004,2.318798267,2.380122601,3.984842178,7.122222314,2.730798212,2.70805254,3.936641439,2.337787844,3.872918304,2.203485314,3.398205559,2.970713886,4.195041956,2.711371421,2.685515702,3.828174667,10.51891954,1.676644882,10.17394029,0,6.514156941,12.20089271,9.295096581,14.53751711,6.589862278,8.975598512,4.780869979,12.27933499,7.998112477,10.2216188,7.508672298
CentroComercialPlazaPatria,3.640873916,2.353644015,3.045868223,3.330598571,3.857709146,1.296483871,3.599818656,3.680257668,5.199954898,3.656546578,7.940317417,5.600353345,7.541501191,7.628901203,2.534306703,0.616617183,8.051003569,8.061391051,3.584300961,4.195998142,2.669796499,4.334813767,3.131589276,3.611303117,2.381917801,4.102194616,9.049211213,10.25926153,4.636566315,4.904930593,3.745628313,6.514156941,0,5.730041384,3.133495206,8.902652556,1.024271349,3.830440068,11.23004111,6.025553639,2.065535477,3.783654919,1.543646553
PlazaRealCenter,9.341849958,7.9868915,8.733464555,9.017056762,9.499505986,4.437757278,9.304506508,9.386992372,10.90792685,9.354148735,13.63796965,11.32386715,13.24442693,13.33095301,8.222774318,5.153522352,13.74617703,13.75894711,8.75046012,9.911181918,8.327979471,10.05063018,8.852205847,9.242626394,8.007863744,9.633250455,14.7743053,15.97989455,2.858051829,10.55124111,2.038076915,12.20089271,5.730041384,0,3.120829309,4.846509806,5.653516435,4.545834505,16.94891692,1.437464075,4.367876876,1.985201081,4.770784778
LaGranPlazaFashionMall,6.499698986,5.111091801,5.886560612,6.16115045,6.585663018,2.074007406,6.469611458,6.554099709,8.051723055,6.506270269,10.99093149,8.615608574,10.58694253,10.67512956,5.392838587,2.717247946,11.10421572,11.11151085,5.676806448,7.086324693,5.460926183,7.224958132,6.064084544,6.326006771,5.125588321,6.646855702,11.9334455,13.11525915,1.556961605,7.622132916,1.225529789,9.295096581,3.133495206,3.120829309,0,5.796888203,2.715253548,1.854912309,14.07441153,2.98629945,1.302228635,1.29750451,1.791950961
PuntoSur,11.9542591,10.58950626,11.3626621,11.61222909,11.92502862,7.858196159,11.93506056,12.01858797,13.42480429,11.95277447,16.54209584,14.15529867,16.13515255,16.2233824,10.91377283,8.514059139,16.65821961,16.66038724,10.62667834,12.54003438,10.93178874,12.67234299,11.6016442,11.67377998,10.59428084,11.82774023,17.22303274,18.33754445,4.266088534,12.88305819,5.687590492,14.53751711,8.902652556,4.846509806,5.796888203,0,8.294272478,5.563857259,19.25897297,3.524173666,6.883686537,5.698574922,7.426784124
CentroMagno,3.78485799,2.395846271,3.172066021,3.445951369,3.878546711,1.575451792,3.755333423,3.839885029,5.336980856,3.791160191,8.304506164,5.920593293,7.898829055,7.987189383,2.682342037,1.286030396,8.418941361,8.42453212,3.166225608,4.372144162,2.745724903,4.510559688,3.36018185,3.61916529,2.410417549,3.980366682,9.219267334,10.40426707,4.068996483,4.9222674,3.615486605,6.589862278,1.024271349,5.653516435,2.715253548,8.294272478,0,2.968351442,11.36554992,5.700929389,1.442933513,3.668882185,0.923310479
CentroSur,6.419404919,5.081931985,5.841550272,6.07976044,6.367323793,3.294164307,6.403693585,6.486107484,7.865870921,6.415636199,11.01130072,8.632065756,10.60488678,10.69277466,5.419249653,3.686401672,11.12802473,11.12833172,5.081717315,7.000106207,5.415071039,7.129868655,6.10337064,6.118382834,5.08262559,6.264861848,11.66095028,12.78331858,1.839192043,7.319204698,2.995077311,8.975598512,3.830440068,4.545834505,1.854912309,5.563857259,2.968351442,0,13.71196082,3.85762448,1.858544523,3.066669831,2.306329098
CentroComercialPlazaLomas,7.608554439,8.979391554,8.21936264,7.937371321,7.488780424,12.5265048,7.645007639,7.562252568,6.042440011,7.597302656,3.869962282,5.745128468,4.144853937,4.079863816,8.728136995,11.82603637,3.808914038,3.77477799,8.633192536,7.037924953,8.632926943,6.898544234,8.099300343,7.748431282,8.961589823,7.472550693,2.193786408,0.972370358,15.29263367,6.457006427,14.93169439,4.780869979,11.23004111,16.94891692,14.07441153,19.25897297,11.36554992,13.71196082,0,17.05944596,12.77850599,14.9772113,12.28614649
PlazaGaleriasGuadalajara,9.484114209,8.096469233,8.870674762,9.146263221,9.57105163,4.8075723,9.45335345,9.537753611,11.03781467,9.491133576,13.94859297,11.58295392,13.54646104,13.63439985,8.374247024,5.521242726,14.06080574,14.06947302,8.598790503,10.06981705,8.446108888,10.20867508,9.040849597,9.311399499,8.111332527,9.619123067,14.91971655,16.10105807,2.018898171,10.60508033,2.374349618,12.27933499,6.025553639,1.437464075,2.98629945,3.524173666,5.700929389,3.85762448,17.05944596,0,4.281336887,2.362258815,4.777815052
HotelRiuPlazaGuadalajara,5.220588107,3.830362377,4.609207318,4.880051007,5.290932996,1.457994932,5.192509731,5.277130864,6.764629689,5.225691003,9.746970053,7.363496746,9.341420759,9.429772044,4.123787101,1.837339473,9.861295229,9.867057907,4.388954478,5.809155102,4.180477255,5.947056408,4.802963688,5.031333838,3.842972167,5.344696224,10.64370468,11.82109408,2.635418745,6.323757,2.360131049,7.998112477,2.065535477,4.367876876,1.302228635,6.883686537,1.442933513,1.858544523,12.77850599,4.281336887,0,2.423829566,0.543097862
HyattRegencyAndaresGuadalajara,7.368657101,6.00670888,6.758379746,7.041195934,7.517340394,2.510630611,7.332418284,7.415396666,8.934819025,7.380077802,11.72000904,9.383718322,11.32258728,11.40977492,6.249075859,3.232489633,11.82995682,11.84109673,6.781598183,7.941973756,6.349407831,8.081528976,6.887377542,7.260001467,6.02703673,7.648165416,12.80783163,14.00953876,1.995633504,8.56844128,0.072535285,10.2216188,3.783654919,1.985201081,1.29750451,5.698574922,3.668882185,3.066669831,14.9772113,2.362258815,2.423829566,0,2.794228938
FiestaAmericanaGuadalajara,4.708027556,3.319156738,4.095078838,4.369252339,4.797801547,1.205683218,4.678268546,4.762795515,6.260000222,4.714432737,9.216580498,6.835614938,8.81149256,8.899802057,3.603421032,1.398364658,9.330582151,9.336850142,3.988721758,5.295053653,3.669025339,5.433560956,4.278314157,4.538226511,3.333655452,4.880445725,10.14205255,11.32571546,3.176589604,5.838393941,2.736583762,7.508672298,1.543646553,4.770784778,1.791950961,7.426784124,0.923310479,2.306329098,12.28614649,4.777815052,0.543097862,2.794228938,0
