,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
ZoologicoGuadalajara,78.67500788,93.2983884,85.30347941,82.5825345,79.70244589,119.8743293,78.87382709,77.89656489,61.03227673,78.71626275,999,48.19535967,5.480068358,5.099891556,90.11366235,114.8016034,0.01315986,0.013400227,95.89734865,71.58231657,89.85047221,69.94026296,82.7762387,82.39119496,93.24352727,82.52502801,41.17656969,57.67690717,55.29311272,69.96976327,53.88302457,52.02813299,110.6490653,57.69518217,52.36037999,62.32400011,113.421609,52.40656382,69.75437646,58.24389344,123.3982989,53.95950351,119.9040133
ElTejaban,45.34465048,65.71753426,54.58860476,50.84378672,47.77156843,101.954631,45.56828786,44.19332283,25.28434324,45.45030701,48.19535967,999,41.34395437,42.87161289,61.29411502,95.39802518,50.06144439,50.11763057,71.24508224,35.39594567,60.94555185,33.20274642,50.99896359,51.24136054,65.64809772,53.36803359,65.5618624,80.81941739,124.8811511,38.27972946,120.7663121,36.1960289,89.74721952,53.10419105,115.704095,58.60121568,92.97067615,115.8227148,91.22073027,53.66713917,106.0197847,121.0257775,101.5052756
AcuariodelZoologicoGuadalajara,73.76494867,89.19692401,80.76653762,77.89526364,74.90425642,117.1338206,73.97301016,72.9394806,55.24289336,73.81060362,5.480068358,41.34395437,999,0.011123407,85.84449476,111.8443049,5.828980783,5.835726985,92.07408185,66.25927611,85.56376647,64.5239331,78.10261727,77.72917486,89.13891952,77.99944879,43.88031994,61.16141042,54.46604116,64.8261765,53.02097502,47.05812646,107.4808409,56.97893508,51.42552136,61.73735746,110.3260586,51.4678236,73.25727709,57.53077296,120.743725,53.10137616,117.1025177
Antartidaelreinodelospinguinos,74.85082592,90.10516852,81.77127709,78.93189569,75.95774603,117.7451759,75.05759107,74.03639953,56.50436455,74.89496107,5.099891556,42.87161289,0.011123407,999,86.79164067,112.5045416,5.577747339,5.585375999,92.90493422,67.4356102,86.51282018,65.71993625,79.14102756,78.75420197,90.04753299,78.98399875,43.12738773,60.32000886,54.64856924,65.9396097,53.2127886,48.06338915,108.1874179,57.13848467,51.63270938,61.86609398,111.0121934,51.67395304,72.44146444,57.68879234,121.3314807,53.29236278,117.7234824
Zoologico,25.17144237,5.257197966,5.801803831,6.312479953,29.46944284,69.1230022,24.45178622,26.13962924,52.92875861,25.40961829,90.11366235,61.29411502,85.84449476,86.79164067,999,59.84299627,91.28467258,91.32441729,38.64867396,36.28527508,0.017627696,38.80164124,6.157316418,24.86860877,5.31244882,36.03695781,99.05476765,109.2401749,100.6005226,47.95841087,95.71404284,71.2350223,50.54740487,112.8090346,87.58681117,52.18461978,52.87552625,87.86500275,116.5110149,113.9400027,72.99365021,96.14509639,66.22269912
ParqueVillaFantasia,74.54701598,57.25136472,66.9534235,70.68774156,77.266532,6.209656839,74.02789729,75.00918174,91.80996527,74.74990475,114.8016034,95.39802518,111.8443049,112.5045416,59.84299627,999,115.5962332,115.6810298,73.49461429,81.06006656,61.82432144,82.62466507,67.95140818,74.28280556,57.67031125,80.13596506,122.7198179,52.04884361,74.69095847,88.90999482,60.60003359,103.9909158,6.032513978,85.02185551,53.41658741,114.9674833,28.48721718,67.33694072,54.18316074,88.93042302,38.80389418,61.07107813,30.67029131
VillaAustraliana,80.03363862,94.42816366,86.55409069,83.87902729,81.05146685,120.6117632,80.22772697,79.26645082,62.68384946,80.07523619,0.01315986,50.06144439,5.828980783,5.577747339,91.28467258,115.5962332,999,0.006570004,96.9958904,73.05840217,91.03235432,71.44494912,84.05464238,83.69784897,94.3751687,83.82208994,40.91038065,56.97374566,55.52165002,71.45711851,54.11613446,53.62582469,111.5035452,57.88795818,52.61610223,62.48811756,114.270158,52.66949878,68.95752316,58.43863207,124.127041,54.191389,120.6712514
Herpetariolatierradelosreptilesyanfibios,80.04160195,94.45601579,86.57738125,83.89033214,81.01131224,120.6892544,80.24105666,79.27819425,62.57993559,80.07949272,0.013400227,50.11763057,5.835726985,5.585375999,91.32441729,115.6810298,0.006570004,999,96.91984435,73.05457018,91.05656335,71.43369308,84.10232187,83.66918998,94.40047241,83.73413658,40.18539807,56.41819477,55.53100326,71.32922339,54.13912042,53.27434182,111.5831974,57.91059279,52.63247585,62.49116748,114.311344,52.67018649,68.50887166,58.45359809,124.163552,54.2147534,120.713173
NaturaPet,41.50468222,35.32781427,37.4280844,37.80805529,35.51306668,79.73856535,41.90454994,42.7623093,57.59975878,41.04791657,95.89734865,71.24508224,92.07408185,92.90493422,38.64867396,73.49461429,96.9958904,96.91984435,999,48.45582423,34.98035989,49.86750376,43.44910483,32.66760854,34.62283655,28.67144247,99.52877237,108.8498839,100.5132936,47.56754319,100.5027484,70.61675254,65.9640303,116.6699386,90.52874491,51.5190966,60.12022166,84.23638384,115.8308288,115.5826571,76.25561824,101.0272995,71.28460031
ZoologicodeEsculturasJuegos,5.978997932,41.30233629,26.78874993,6.460494624,6.247922942,88.6231795,6.032893798,5.851071049,22.86991045,5.975717046,71.58231657,35.39594567,66.25927611,67.4356102,36.28527508,81.06006656,73.05840217,73.05457018,48.45582423,999,35.02235298,0.014459568,24.07597589,6.464227917,41.10431499,27.48801411,81.8332987,94.4182568,114.1352082,6.481786066,110.3162344,47.37048233,73.89403162,124.4424108,103.6841571,55.63449536,76.05239887,102.9420952,103.2685167,50.17393544,91.86378184,110.6619297,86.54846483
